"municipality","marginal","male","female","in20","in40","in65","inInf"
"Amod",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Amreli",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anand",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anjar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anklav",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Ankleshwar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Babra",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Bareja",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Barwala",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Bavla",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Bayad",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Bharuch",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Bhayavadar",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Boriavi",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Botad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Chaklasi",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Chalala",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Chhaya",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Chorvad",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Chotila",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Dahegam",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Dahod",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Damnagar",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Deesa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dhanera",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Dharampur",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dholka",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dhoraji",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"Dhrangadhra",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dwarka",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Gadhada",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Gandevi",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Gandhinagar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Gondal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Halol",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Halvad",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Harij",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Idar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Jafrabad",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"JamRaval",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Jasdan",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Jetpur",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kadodara",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Kalavad",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Kalol",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Karamsad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Karjan",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Kathlal",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Keshod",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Khambhalia",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Kheda",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Khedbrahma",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kodinar",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Kutiyana",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Lathi",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Lunawada",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Manavadar",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Mandvi",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Mansa",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Modasa",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mundra",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Nadiad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Navsari",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Okha",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Pardi",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Patan",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Porbandar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Prantij",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Rajpipla",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Ranavav",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Sahera",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Sanand",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Savarkundla",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Savli",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Surendranagar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Sutrapada",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Talala",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Tarsadi",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Thangadh",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Umargam",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Umreth",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Una",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Upleta",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Vadali",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Vallabh Vidhyanagar",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Vallabhipur",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Valsad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanthali",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Visavadar",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Vyara",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Wankaner",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Zalod",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
